Empresa,Modalidade de apoio
Kersys Desenvolvimento de Sistemas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Novo Gás Projetos de Energia Renovável Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genosel Desenvolvimento Experimental em Ciências Físicas e Naturais,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Paulo Daniel Leite Pesquisa e Desenvolvimento,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Afinko Soluções em Polímeros Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TagmaVisions Treinamentos Digitais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Karina Lucas da Silva Brandão,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Centro de Preservação e Adaptação de Membros de São Paulo Comércio, Importação e Exportação Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Smart Yeast - Pesquisa e Desenvolvimento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Game Gift Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tergos Pesquisa e Ensino Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ideelab Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Buzz Fly P&D em Alimentação Animal S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Itech Soluções Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
3TCOM Serviços em Redes de Telecomunicações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sonata Solutions Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Milton Yukio Godoy Saito,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Presense - Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Au Naturel Saúde e Beleza Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brazil Beef Quality Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Jonas de Castro Gitz,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ideelab Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Defense Fertilizer Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lace Serviços de Engenharia e Representação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tissuelabs Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metaquantion P&D Soluções em Biologia Molecular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dom Rock Serviços em Tecnologia S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Succi Avila Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Procoding Tecnologia para Rastreabilidade Industrial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Farmresult Prestação de Serviços Agrícolas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Terpenia Desenvolvimento de Bioinsumos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Renata Fabiane Jorge Tiossi,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Patricia Milano - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SC Condi Assessoria Industrial,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Microalgae Biotecnologias Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metaura Prestação de Serviços de Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nazaré & Petrônio Pesquisa e Desenvolvimento Experimental em Ciências Físicas e Naturais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Horuseye Tech Engenharia de Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Turivius Portais de Conteúdo Ltda (Filial),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Falcao Hightec Solution Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Valora Madeira Classificação e Inspeção Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mindcheck Checkup em Saúde Mental Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Villas Boas & Lopes Pesquisa Experimental Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Infopreços S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"CarbonUP Consultoria, Pesquisa e Desenvolvimento de Materiais Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clarity Healthcare Desenvolvimento de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Souza P&D Farmacêutico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bottino Pesquisa e Desenvolvimento em Biotecnologia Inova Simples,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Angela Faustino Jozala,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inanocare Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fullface Biometric Solutions Participações S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fisioatual Comércio Atacadista e Equipamentos Médicos Hospitalares Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
LUCA - Ciência para Educar Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ENE Inteligência Agrícola e Treinamentos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Yugue Assessores S/S Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Microondas Desenvolvimento e Tecnologias Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dirac Inovações Tecnológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Terra Azul Tecnologia de Polímeros Naturais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Lotik Consultoria, Assessoria e Desenvolvimento de Soluções Tecnológicas",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioptamers Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"T2V Indústria, Comércio e Serviços em Tecnologia Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
45.993.313 Inova Simples (IS),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Capacitaimune Treinamento e Consultoria em Saúde Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vyro Biotherapeutics Pesquisa e Desenvolvimento Produtos Biotecnológicos,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Oseas de Paula Ribeiro - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eletroquímica São Carlos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Carolina Cinto de Moraes,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biomonetize - Valoração e Monetização de Serviços Ambientais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Connecting Blocks Consultoria Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
João Marcelo Robazzi Bignelli Valente Aguiar,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Divegen Gestão e Tratamento de Dados Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Orbi Serviços de Internet Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TechMiP Análises e Soluções Inteligentes Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Natcrom Soluções Sustentáveis Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kosmoscience Consultoria e Assessoria Técnica em Cosméticos Ltda (KosmoScience),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Otavio Mesquita de Sousa,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biobreyer Pesquisa e Desenvolvimento Científico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alexandre Greluk Szykman,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
AFH Soluções Tecnológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vet Up Educação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Barreto & Hill Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cyberphysics Company Tecnologia em Atividade Física Ltda. - Me,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Nascimento Pesquisa, Desenvolvimento e Capacitação Profissional Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
50.086.840 Simone Gibran Nogueira,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sofien Soluções Tecnológicas para Agroindústria Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Plantem Tecnologia em Plantas e Monitoramento Ambiental Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Multiscale Solutions Tecnologia e Consultoria Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sinapsis Inovação em Energia S/S Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alex Julio Trinca,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Instituto Cordial de Desenvolvimento Social Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Skinzymes Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Menzani Chapas Ecológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tissuelabs Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MLA Suprimentos Médicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Licia Carla da Silva Costa,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Match It Serviços de Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bio.Inn Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Meteoia Datascience Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rubian Xtract Serviços Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
AL7 Soluções ao Alumínio Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Gen&Vita Inova Simples (IS),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Reactormodel Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mesosilica Consultoria Química Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Gobots Soluções Inteligentes Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clarity Healthcare Desenvolvimento de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ACRM Inovações Tecnológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Valora Consultoria em Gestão Empresarial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Labxon Software e Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Victor Vision Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Singularity Extraction Technologies Serviços Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Supply Comércio de Produtos Químicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ravenna Indústria e Comércio de Cosméticos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
S R Engenharia e Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rodrigues e Amorim Serviços Aquícolas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
EPL Empresa Produtora de Inovações Tecnológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dynamine Consultoria em Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
No Tube Yes Color Inovação em Cosméticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tramppo Comércio e Reciclagem de Produtos Industriais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Medicina Nuclear de Campinas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dallas Autonomus Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Humanizadas Desenvolvimento de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DRSC Soluções Tecnológicas Inteligentes Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Centro Veterinário de Diagnóstico Anatomo Patológico e Biologia Molecular,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
EPL Empresa Produtora de Inovações Tecnológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eagle Soluções Educacionais e Tecnológicas Adaptativas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Krabs Desenvolvimento em Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Reload Health Devices Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vixphy - Soluções de Computação em Nuvem Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BTZ Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Gustavo Trindade Valio,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brazil Beef Quality Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rafael Zochling Desenvolvimento de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioreset Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Imunotera Soluções Terapêuticas Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Edenizia Tavares Chaves Lucas,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tovem Biotech Pesquisas e Análises Técnicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Silvia Mobille Awoyama,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Vert Pesquisa, Desenv. Experimental Ciências Físicas Naturais Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Confiance Gestão Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onkos Diagnósticos Moleculares Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Urbansea Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Zebradvances Pesquisa e Consultoria em Rastreio Toxicológico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biosmart Nanotechnology Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BRTech Soluções Tecnológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Essado de Morais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ecotec Soluções em Automação Sustentável Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Synbd Pesquisa, Desenvolvimento e Produção de Insumos Farmacêuticos",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Imunotera Soluções Terapêuticas Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Versis Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Progenix Pesquisa e Artigos para Laboratório Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Savelivez Tecnologia para a Saúde Ltda (Filial),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Teccer Indústria e Comércio de Produtos Cerâmicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pet Salut Comércio e Indústria de Alimentos para Animais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ModelWorks Engenharia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genotyping Laboratório de Biotecnologia Ltda (Genotyping),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
593iCAN Soluções em Impressão 3D Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Benfitbox Soluções Tecnológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cor Sync Desenvolvimento de Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Forza Composites Tecnologia em Materiais Compósitos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Wisersoft Tecnologia em Sistemas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vetra Pesquisa e Desenvolvimento de Produtos Cerâmicos de Alta Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dynamine Consultoria em Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ModelWorks Engenharia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Faz Verde Soluções Ambientais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Forza Composites Tecnologia em Materiais Compósitos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dipsie Engenharia e Software S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Imunotera Soluções Terapêuticas Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agririsk Soluções em Gerenciamento de Risco Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sardrones Aplicações e Serviços Agrícolas - Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clarice Inteligência Artificial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Newsun Energy Brazil S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Matriz Brasileira de Risco Agro Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"LLF Agrometeorologia, Soluções e Assessorias Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Wecare Desenvolvimento e Comércio de Medicamentos e Cosméticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
KVANTUM TECNOLOGIA E SERVICOS LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cyanochem Serviços de Apoio Administrativo Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kander Serviços Online e Intermediação de Educação e Conteúdo Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Inovações Tecnológicas para a Agropecuária S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Evolve Soluções Ambientais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioinfood Soluções em Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nderma Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
RECICLA SE INOVACAO E TECNOLOGIA LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CASA NOSTRA ADMINISTRACAO DE IMOVEIS LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mirscience Therapeutics Serviços de Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Diasci Diagnóstico Científico e Soluções Tecnológicas Avançadas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Self Aplicações Tecnológicas para Saúde, Educação e Bem Estar Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Living Out Laboratório de Testes Celulares In Vitro Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
593iCAN Soluções em Impressão 3D Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Douglas Rodrigues Bello - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
João de Barro Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
3TCOM Serviços em Redes de Telecomunicações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fernanda Rebel Moreira Alves,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
HIPOCAMPUS TECNOLOGIA EDUCACIONAL E INTELIGENCIA ARTIFICIAL LTDA EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Myrtus Plant Biotech Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"LLF Agrometeorologia, Soluções e Assessorias Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tiago Milanin,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nazaré & Petrônio Pesquisa e Desenvolvimento Experimental em Ciências Físicas e Naturais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Inovações Tecnológicas para a Agropecuária S/A (Filial),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
AJT Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Adimplere Cobranças Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Anáhata Soluções Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SPIRULINA EPICURA LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kidopi Soluções em Informática Médica Ltda (Kidopi),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
UP Bioprodutos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Decoy Tecnologia em Controle de Pragas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Inovações Tecnológicas para a Agropecuária S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SAFE - ESCOLA DE AVIACAO CIVIL LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Harpia Health Solutions Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
PROTECT MAIS NANOTECNOLOGIA LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Soluções em Biotecnologia 3D - Engenharia Tecidual Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Doroth Indústria, Comércio e Serviços de Informação Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Doroth Indústria, Comércio e Serviços de Informação Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Smart Consultoria Agronômica e Serviços Agrícolas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Opto Tecnologia Optrônica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ticyana Carone Banzato - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Silviene Novikoff,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
M3Dpet Serviços e Pesquisas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Humanizadas Desenvolvimento de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
